Timestamp,ID,Emotion,Accuracy,Image Filename
2025_01_08_2129,img0,neutral,83.46%,StaffData\2\img0_2025_01_08_2129.png
2025_01_08_2129,img1,neutral,85.97%,StaffData\2\img1_2025_01_08_2129.png
2025_01_08_2129,img2,neutral,86.61%,StaffData\2\img2_2025_01_08_2129.png
2025_01_08_2129,img3,neutral,84.38%,StaffData\2\img3_2025_01_08_2129.png
2025_01_08_2129,img4,neutral,86.18%,StaffData\2\img4_2025_01_08_2129.png
2025_01_08_2129,img5,happy,68.14%,StaffData\2\img5_2025_01_08_2129.png
2025_01_08_2129,img6,neutral,69.63%,StaffData\2\img6_2025_01_08_2129.png
2025_01_08_2129,img7,neutral,30.97%,StaffData\2\img7_2025_01_08_2129.png
2025_01_08_2129,img8,angry,72.29%,StaffData\2\img8_2025_01_08_2129.png
2025_01_08_2129,img9,happy,46.14%,StaffData\2\img9_2025_01_08_2129.png
2025_01_08_2129,img10,angry,58.80%,StaffData\2\img10_2025_01_08_2129.png
2025_01_08_2129,img11,neutral,51.62%,StaffData\2\img11_2025_01_08_2129.png
2025_01_08_2129,img12,No Face Detected,0.00%,StaffData\2\img12_2025_01_08_2129.png
2025_01_08_2129,img13,No Face Detected,0.00%,StaffData\2\img13_2025_01_08_2129.png
2025_01_08_2129,img14,No Face Detected,0.00%,StaffData\2\img14_2025_01_08_2129.png
2025_01_08_2129,img15,sad,57.07%,StaffData\2\img15_2025_01_08_2129.png
2025_01_08_2129,img16,sad,47.27%,StaffData\2\img16_2025_01_08_2129.png
2025_01_08_2130,img17,neutral,74.87%,StaffData\2\img17_2025_01_08_2130.png
2025_01_08_2130,img18,neutral,59.76%,StaffData\2\img18_2025_01_08_2130.png
2025_01_08_2130,img19,neutral,34.04%,StaffData\2\img19_2025_01_08_2130.png
2025_01_08_2130,img20,angry,38.95%,StaffData\2\img20_2025_01_08_2130.png
2025_01_08_2130,img21,sad,39.84%,StaffData\2\img21_2025_01_08_2130.png
2025_01_08_2130,img22,neutral,74.44%,StaffData\2\img22_2025_01_08_2130.png
2025_01_08_2130,img23,neutral,71.30%,StaffData\2\img23_2025_01_08_2130.png
2025_01_08_2130,img24,angry,32.57%,StaffData\2\img24_2025_01_08_2130.png
2025_01_08_2130,img25,neutral,80.99%,StaffData\2\img25_2025_01_08_2130.png
2025_01_08_2130,img26,neutral,85.04%,StaffData\2\img26_2025_01_08_2130.png
2025_01_08_2130,img27,neutral,79.87%,StaffData\2\img27_2025_01_08_2130.png
2025_01_08_2130,img28,neutral,67.86%,StaffData\2\img28_2025_01_08_2130.png
2025_01_08_2130,img29,surprise,51.80%,StaffData\2\img29_2025_01_08_2130.png
2025_01_08_2130,img30,happy,57.93%,StaffData\2\img30_2025_01_08_2130.png
2025_01_08_2130,img31,happy,67.09%,StaffData\2\img31_2025_01_08_2130.png
2025_01_08_2131,img32,happy,62.55%,StaffData\2\img32_2025_01_08_2131.png
