Timestamp,ID,Emotion,Accuracy,Image Filename
2025_02_18_0825,img0,happy,90.22%,StaffData\3\img0_2025_02_18_0825.png
2025_02_18_0825,img1,angry,39.72%,StaffData\3\img1_2025_02_18_0825.png
2025_02_18_0825,img2,neutral,63.65%,StaffData\3\img2_2025_02_18_0825.png
2025_02_18_0825,img3,neutral,61.66%,StaffData\3\img3_2025_02_18_0825.png
2025_02_18_0825,img4,neutral,69.90%,StaffData\3\img4_2025_02_18_0825.png
2025_02_18_0825,img5,neutral,52.29%,StaffData\3\img5_2025_02_18_0825.png
2025_02_18_0830,img0,happy,95.29%,StaffData\3\img0_2025_02_18_0830.png
2025_02_18_0830,img1,angry,33.52%,StaffData\3\img1_2025_02_18_0830.png
2025_02_18_0830,img2,neutral,80.61%,StaffData\3\img2_2025_02_18_0830.png
2025_02_18_0830,img3,surprise,43.57%,StaffData\3\img3_2025_02_18_0830.png
2025_02_18_0830,img4,neutral,77.96%,StaffData\3\img4_2025_02_18_0830.png
2025_02_18_0830,img5,neutral,63.44%,StaffData\3\img5_2025_02_18_0830.png
2025_02_18_0830,img6,happy,39.92%,StaffData\3\img6_2025_02_18_0830.png
2025_02_18_0830,img7,neutral,80.10%,StaffData\3\img7_2025_02_18_0830.png
2025_02_18_0830,img8,surprise,60.58%,StaffData\3\img8_2025_02_18_0830.png
2025_02_18_0830,img9,neutral,79.03%,StaffData\3\img9_2025_02_18_0830.png
2025_02_18_0830,img10,angry,65.78%,StaffData\3\img10_2025_02_18_0830.png
2025_02_18_0830,img11,neutral,50.43%,StaffData\3\img11_2025_02_18_0830.png
2025_02_18_0830,img12,neutral,40.66%,StaffData\3\img12_2025_02_18_0830.png
2025_02_18_0830,img13,neutral,40.20%,StaffData\3\img13_2025_02_18_0830.png
2025_02_18_0831,img14,neutral,85.94%,StaffData\3\img14_2025_02_18_0831.png
2025_02_18_0856,img0,neutral,66.93%,StaffData\3\img0_2025_02_18_0856.png
2025_02_18_0856,img1,happy,92.71%,StaffData\3\img1_2025_02_18_0856.png
2025_02_18_0856,img2,angry,42.67%,StaffData\3\img2_2025_02_18_0856.png
2025_02_18_0856,img3,neutral,44.43%,StaffData\3\img3_2025_02_18_0856.png
2025_02_18_0856,img4,sad,37.75%,StaffData\3\img4_2025_02_18_0856.png
2025_02_18_0856,img5,angry,52.63%,StaffData\3\img5_2025_02_18_0856.png
2025_02_18_0856,img6,sad,69.94%,StaffData\3\img6_2025_02_18_0856.png
2025_02_18_0856,img7,sad,44.99%,StaffData\3\img7_2025_02_18_0856.png
2025_02_18_0856,img8,neutral,68.06%,StaffData\3\img8_2025_02_18_0856.png
2025_02_18_0856,img9,neutral,40.14%,StaffData\3\img9_2025_02_18_0856.png
2025_02_18_0856,img10,neutral,37.72%,StaffData\3\img10_2025_02_18_0856.png
2025_02_18_0856,img11,neutral,42.86%,StaffData\3\img11_2025_02_18_0856.png
2025_02_18_0856,img12,surprise,76.06%,StaffData\3\img12_2025_02_18_0856.png
2025_02_18_0856,img13,neutral,30.99%,StaffData\3\img13_2025_02_18_0856.png
2025_02_18_0856,img14,sad,50.79%,StaffData\3\img14_2025_02_18_0856.png
2025_02_18_0856,img15,neutral,42.85%,StaffData\3\img15_2025_02_18_0856.png
