Timestamp,ID,Emotion,Accuracy,Image Filename
2025_01_13_1532,img0,neutral,74.22%,StaffData\4\img0_2025_01_13_1532.png
2025_01_13_1532,img1,neutral,58.93%,StaffData\4\img1_2025_01_13_1532.png
2025_01_13_1532,img2,No Face Detected,0.00%,StaffData\4\img2_2025_01_13_1532.png
2025_01_13_1532,img3,neutral,60.51%,StaffData\4\img3_2025_01_13_1532.png
2025_01_13_1533,img4,neutral,78.66%,StaffData\4\img4_2025_01_13_1533.png
2025_01_13_1533,img5,neutral,40.62%,StaffData\4\img5_2025_01_13_1533.png
2025_01_13_1533,img6,happy,52.13%,StaffData\4\img6_2025_01_13_1533.png
2025_01_13_1533,img7,neutral,86.75%,StaffData\4\img7_2025_01_13_1533.png
2025_01_13_1533,img8,happy,98.20%,StaffData\4\img8_2025_01_13_1533.png
2025_01_13_1534,img9,neutral,83.30%,StaffData\4\img9_2025_01_13_1534.png
2025_01_13_1534,img10,No Face Detected,0.00%,StaffData\4\img10_2025_01_13_1534.png
2025_01_13_1534,img11,neutral,59.77%,StaffData\4\img11_2025_01_13_1534.png
2025_01_13_1534,img12,neutral,37.49%,StaffData\4\img12_2025_01_13_1534.png
2025_01_13_1534,img13,angry,47.78%,StaffData\4\img13_2025_01_13_1534.png
2025_01_13_1544,img0,neutral,41.56%,StaffData\4\img0_2025_01_13_1544.png
2025_01_13_1544,img1,neutral,89.34%,StaffData\4\img1_2025_01_13_1544.png
2025_01_13_1544,img2,happy,86.94%,StaffData\4\img2_2025_01_13_1544.png
2025_01_13_1544,img3,neutral,29.01%,StaffData\4\img3_2025_01_13_1544.png
2025_01_13_1544,img4,neutral,30.48%,StaffData\4\img4_2025_01_13_1544.png
2025_01_13_1545,img5,No Face Detected,0.00%,StaffData\4\img5_2025_01_13_1545.png
2025_01_13_1545,img6,neutral,64.36%,StaffData\4\img6_2025_01_13_1545.png
2025_01_13_1545,img7,neutral,70.49%,StaffData\4\img7_2025_01_13_1545.png
2025_01_13_1545,img8,happy,60.68%,StaffData\4\img8_2025_01_13_1545.png
